Date,Mean Observed Flux Prior Day,Mean Adjusted Flux Prior Day,Mean URSI Flux Prior Day,Variation Percentage Observed Flux Prior Day,Variation Percentage Adjusted Flux Prior Day,Variation Percentage URSI Flux Prior Day
2018-03-23,68.16666666666667,67.73333333333333,60.93333333333334,-0.2936857562408057,-0.2954209748892213,-0.3284072249589421
2018-03-24,68.23333333333333,67.83333333333333,61.03333333333333,-1.1644832605531255,-1.1713030746705668,-1.3008130081300766
2018-03-25,67.66666666666667,67.26666666666667,60.53333333333333,1.7883755588673667,1.7991004497751164,1.8333333333333357
2018-03-26,68.39999999999999,68.03333333333335,61.23333333333333,0.43923865300146,0.4418262150220871,0.4909983633387842
2018-03-27,67.8,67.5,60.699999999999996,-0.5882352941176554,-0.5908419497784426,-0.656814449917896
2018-03-28,67.83333333333333,67.56666666666666,60.800000000000004,0.2962962962963005,0.4464285714285672,0.33057851239669894
2018-03-29,68.60000000000001,68.36666666666666,61.53333333333333,-0.2911208151382865,-0.29197080291971217,-0.16233766233766464
2018-03-30,68.7,68.5,61.666666666666664,0.14598540145984573,0.14641288433383387,0.1626016260162625
2018-03-31,68.63333333333334,68.46666666666665,61.63333333333333,0.438596491228066,0.5865102639296063,0.48859934853420894
2018-04-01,69.03333333333333,68.89999999999999,62.0,-0.7215007215007215,-0.8670520231213995,-0.6430868167202664
2018-04-02,68.7,68.60000000000001,61.76666666666667,1.026392961876837,1.0279001468428826,0.978792822185973
2018-04-03,68.23333333333333,68.2,61.36666666666667,-0.43923865300146,-0.29325513196481356,-0.3257328990227944
2018-04-04,67.73333333333333,67.73333333333333,60.96666666666667,-0.8823529411764622,-0.8823529411764622,-0.8169934640522877
2018-04-05,67.73333333333333,67.76666666666667,61.0,0.4464285714285672,0.4464285714285672,0.49586776859503656
2018-04-06,66.63333333333334,66.7,60.03333333333333,0.14992503748125086,0.149700598802408,0.16638935108153316
2018-04-07,67.13333333333334,67.23333333333333,60.56666666666666,1.9578313253012003,1.9548872180451087,2.003338898163611
2018-04-08,67.10000000000001,67.23333333333333,60.53333333333333,0.44709388971685754,0.4464285714285672,0.49586776859503656
2018-04-09,68.03333333333335,68.23333333333333,61.43333333333334,0.8849557522124021,0.8823529411764622,0.9803921568627357
2018-04-10,68.89999999999999,69.10000000000001,62.199999999999996,0.0,0.0,0.0
2018-04-11,68.10000000000001,68.39999999999999,61.53333333333333,-0.5873715124816322,-0.5847953216374352,-0.48780487804877587
2018-04-12,68.36666666666666,68.66666666666667,61.86666666666667,-0.29197080291971217,-0.29069767441860883,-0.3225806451612949
2018-04-13,69.89999999999999,70.23333333333333,63.199999999999996,0.14326647564471137,0.14265335235379248,0.15847860538827482
2018-04-14,69.56666666666666,69.96666666666667,62.96666666666667,0.0,0.0,0.0
2018-04-15,69.56666666666666,70.0,63.0,-0.5730659025787844,-0.42735042735042333,-0.47468354430380416
2018-04-16,70.23333333333333,70.7,63.63333333333333,-0.7112375533428165,-0.7062146892655368,-0.6279434850863511
2018-04-17,68.89999999999999,69.36666666666667,62.46666666666667,0.7299270072992701,0.8708272859216172,0.6441223832528157
2018-04-18,69.13333333333333,69.7,62.699999999999996,-0.7215007215007215,-0.7153075822603718,-0.7949125596184419
2018-04-19,70.96666666666665,71.56666666666668,64.36666666666667,0.7062146892655368,0.7002801120448179,0.778816199376947
2018-04-20,70.93333333333334,71.60000000000001,64.43333333333334,-0.5617977528089967,-0.556328233657866,-0.6182380216383395
2018-04-21,73.46666666666667,74.16666666666667,66.73333333333333,-0.5412719891745679,-0.5361930294906053,-0.4470938897168364
